Reprise	NOM	O	B-SENT
de	PRP	O	O
la	DET:ART	O	O
session	NOM	O	O
Je	PRO:PER	O	B-SENT
déclare	VER:pres	O	O
reprise	VER:pper	O	O
la	DET:ART	O	O
session	NOM	O	O
du	PRP:det	O	O
Parlement	NOM	O	O
européen	ADJ	O	O
,	PUN	O	O
qui	PRO:REL	O	O
avait	VER:impf	O	O
été	VER:pper	O	O
interrompue	VER:pper	O	O
le	DET:ART	O	O
jeudi	NOM	O	O
21	NUM	O	O
septembre	NOM	O	O
2000	NUM	O	O
.	SENT	O	O
	
Approbation	NOM	O	B-SENT
du	PRP:det	O	O
procès	NOM	O	O
-	PUN	O	O
verbal	ADJ	O	O
de	PRP	O	O
la	DET:ART	O	O
séance	NOM	O	O
précédente	ADJ	O	O
Le	DET:ART	O	B-SENT
procès	NOM	O	O
-	PUN	O	O
verbal	ADJ	O	O
de	PRP	O	O
la	DET:ART	O	O
séance	NOM	O	O
du	PRP:det	O	O
jeudi	NOM	O	O
21	NUM	O	O
septembre	NOM	O	O
vous	PRO:PER	O	O
a	VER:pres	O	O
été	VER:pper	O	O
distribué	VER:pper	O	O
.	SENT	O	O
	
Y	PRO:PER	O	B-SENT
a	VER:pres	O	O
-	PUN	O	O
t	VER:pper	O	O
-	PUN	O	O
il	PRO:PER	O	O
des	PRP:det	O	O
observations	NOM	O	O
?	SENT	O	O
	
Madame	NOM	O	B-SENT
la	DET:ART	O	O
Présidente	NOM	O	O
,	PUN	O	O
je	PRO:PER	O	O
m'	PRO:PER	O	O
en	PRO:PER	O	O
tiendrai	VER:futu	O	O
à	PRP	O	O
une	DET:ART	O	O
question	NOM	O	O
sur	PRP	O	O
le	DET:ART	O	O
procès	NOM	O	O
-	PUN	O	O
verbal	ADJ	O	O
.	SENT	O	O
	
Pour	PRP	O	B-SENT
une	DET:ART	O	O
raison	NOM	O	O
quelconque	ADJ	O	O
que	PRO:REL	O	O
j'	PRO:PER	O	O
ignore	VER:pres	O	O
,	PUN	O	O
mon	DET:POS	O	O
nom	NOM	O	O
n'	ADV	O	O
est	VER:pres	O	O
pas	ADV	O	O
sur	PRP	O	O
la	DET:ART	O	O
liste	NOM	O	O
de	PRP	O	O
présence	NOM	O	O
.	SENT	O	O
	
Je	PRO:PER	O	B-SENT
demande	VER:pres	O	O
que	KON	O	O
l'	PRO:PER	O	O
on	PRO:PER	O	O
veuille	VER:subp	O	O
bien	ADV	O	O
corriger	VER:infi	O	O
cette	PRO:DEM	O	O
erreur	NOM	O	O
,	PUN	O	O
et	KON	O	O
par	PRP	O	O
la	DET:ART	O	O
même	ADJ	O	O
occasion	NOM	O	O
,	PUN	O	O
je	PRO:PER	O	O
constate	VER:pres	O	O
que	KON	O	O
j'	PRO:PER	O	O
ai	VER:pres	O	O
pu	VER:pper	O	O
me	PRO:PER	O	O
rendre	VER:infi	O	O
aujourd'hui	ADV	O	O
de	PRP	O	O
Finlande	NAM	I-LOC	O
ici	ADV	O	O
même	ADJ	O	O
,	PUN	O	O
à	PRP	O	O
Strasbourg	NAM	I-LOC	O
,	PUN	O	O
en	PRP	O	O
neuf	ADJ	O	O
heures	NOM	O	O
seulement	ADV	O	O
.	SENT	O	O
	
C'	PRO:DEM	O	B-SENT
est	VER:pres	O	O
pratiquement	ADV	O	O
